itemId,title,price,shipping cost,post date,location,seller,seller feedback Percentage,seller feedback Score,seller,condition,URL
v1|305595435798|0,Apple iPhone 14 Pro Max 5G Smartphone 128GB Unlocked SIM-Free {Deep Purple},649.59,0.00,2024-06-01T02:30:25.000Z,BL3***,BUSINESS,100.0,12,BUSINESS,Used,https://www.ebay.co.uk/itm/305595435798?hash=item4726e84b16:g:G~4AAOSwY65mU6oV&amdata=enc%3AAQAJAAAA4Ai9xG%2FLTXA27d2kZgbZ6GWTpVlxlenrv%2BsHYoJZ%2BEFJ6Wc0eHsctcrkZF4EFMx9QZJ1cKE6yhXJezhbZlbA7NPQ7M0FaBmB%2FP%2BnQg%2Fwj0%2ForVWXJ51l0cEwVbLY8Nkq72hS5ZNJ59wHMwTCwFkQP17RhTuOGeZOJLtGcIt%2FK7OgKEgKV3kSUFtai4jb9GwE506q%2BjxnDHisbJNdFn0RhCLMSO7m5NkEJHJUsjVO7CdqxvNmLEloXP1oM0mD3B3U4oitxbrUt5imgNebfo0fu9CYtrnY20esTVjNTc55R383
v1|325146274714|514057193784,NEW Apple iPhone 12  5G 64GB 128GB ios Mobile unlocked Phone in re-SEALED BOX,269.99,0.00,2022-04-14T13:35:06.000Z,M8***,BUSINESS,99.9,20247,BUSINESS,Opened – never used,https://www.ebay.co.uk/itm/325146274714?hash=item4bb43a6b9a:g:nTwAAOSwSPtjrMNq&amdata=enc%3AAQAJAAAA4DNayEMFq01s37rUyqVc%2BIDMxj2Pepy7677JEikgmPfJCDGA5ZtkFpEbZW3sKuShyjDg3gCrjNTJwzxDwTyezvRQJ3Ush8kHHrNWZzrIy%2BmxLpU6dJelGwcfyUQl1sp8p9s35SJEMKciWLFaOu3H0qQ2UgPNnfPcr5LG1OridX9H%2BT%2BNxtCDS4VCPjKMmKelRyuHoHBNWjeDKdm%2FnVAKXyvlAYz%2F1oJYuMvcNVq41ymPYK2RGPM9AZD5NATuVeS4oYaq0xB4vnBcVK7GGljxjXcthAU56lHXMU40aBLbFBEE
v1|395442105458|0,Apple iPhone 14 - 128GB - Blue (Unlocked),387.17,2.47,2024-06-01T16:39:02.000Z,IG8***,BUSINESS,98.6,2283,BUSINESS,Used,https://www.ebay.co.uk/itm/395442105458?hash=item5c122fac72:g:EOUAAOSwH5lmNUrS&amdata=enc%3AAQAJAAAA4EnPfylJIbbBF6lvmh%2Few0wIQrpFTt9J2ysH7b7RYcOUGZfI5Eflijfk1J9xADkWAkopEEQKptwcLx%2B6olF8BX9SrK9uiKe4%2BkplwG5pozlM2UF7ayvZR3acbSS9w%2FUSD5VrQJaiNTKuzPBqCMpKLnlVgmoe3H7gCNuAjLIX58P%2FeoyR8VoQ4RNJfhA43Ufo%2Fr0JL8G5ATbx20r0STwcgsZNAbF8GWb5UcqwfOQSKZpTN5ot8KzSOZS7bJWAFvBPabwu5Q7hyRcjb2jHAOg%2BBZxuFfhiqFAINMKGvKq2Wqto
v1|384787118175|652717854795,Apple iPhone 12 - All Sizes - All Colours - Unlocked - Good Condition,280.99,0.00,2022-03-18T14:24:56.000Z,SK7***,BUSINESS,99.2,12160745,BUSINESS,Good - Refurbished,https://www.ebay.co.uk/itm/384787118175?hash=item599719785f:g:vRcAAOSwh0tiNJGr&amdata=enc%3AAQAJAAAA4EM92cYGlWNQKekTqM535NV8PCPY3%2BpVLD09NwlJtZffm6miPTHe5IsiYmfU2LyNN6OYz6hc%2Bj%2FhNV9V%2BIhM7R%2FkoAs%2F1Jl8ELN%2BuTz40G6V3WtijEhH7KRqPvLFVfgL%2BhH6kw2eB6tdMHCFPhkvJkWBb3LvagE8ZprH%2B3i9Kcyh7ktBkpI%2BHkivv%2F2C211uu%2Bh6LXpPXCQvE2%2FdN%2FtC0ZwO43ZvfgnFK%2BlEwzpOolDr7koFyyHTGnkjZflMBWrzN2ps%2B%2BCagBlhRe04g0XSRTJbFKrDr87%2FNYte1ePOgxOB
v1|145808479935|0,Apple iPhone 14 - 128 GB - Purple  (Unlocked) 93% BATTERY HEALTH. Free Postage,349.99,0.00,2024-06-01T15:22:12.000Z,EH53***,BUSINESS,99.2,6123,BUSINESS,Used,https://www.ebay.co.uk/itm/145808479935?hash=item21f2dcd6bf:g:ZEgAAOSwYwJmS2kv
v1|186470551167|0,Iphone 14 Pro Max 128gb Space Black Immaculate Condition,600.00,7.95,2024-06-01T17:53:19.000Z,WV2***,INDIVIDUAL,100.0,425,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/186470551167?hash=item2b6a82ce7f:g:CWIAAOSwIHBmW151
v1|176404327732|0,Apple iPhone 12 - 64GB - Purple (Unlocked),139.99,0.00,2024-06-01T16:23:43.000Z,CH41***,INDIVIDUAL,100.0,1289,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/176404327732?hash=item2912846d34:g:ZykAAOSwUatmS2FV
v1|385652756352|653454634786,Apple iPhone 14 - All Sizes - All Colours - Unlocked - Good Condition,518.99,0.00,2023-06-01T12:50:14.000Z,SK7***,BUSINESS,99.2,12160745,BUSINESS,Good - Refurbished,https://www.ebay.co.uk/itm/385652756352?hash=item59cab20f80:g:w~sAAOSwoQlkeJKi
v1|315408591440|0,Apple iPhone 12 Pro Max - 128GB - Pacific Blue (Unlocked) Excellent Condition,324.00,0.00,2024-06-01T16:05:57.000Z,MK42***,INDIVIDUAL,100.0,66,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/315408591440?hash=item496fd12a50:g:uFIAAOSwcplmW0IA
v1|256530624383|0,Apple iPhone 14 Pro - 256GB - Space Black (Unlocked),586.00,9.50,2024-06-01T17:19:40.000Z,CW12***,INDIVIDUAL,100.0,172,INDIVIDUAL,Used,https://www.ebay.co.uk/itm/256530624383?hash=item3bba6aaf7f:g:rFEAAOSwTnpmW1fR
